item_id,title,llm_description
B00000JRSB,Final Fantasy VII - PlayStation,Final Fantasy VII is a turn-based RPG featuring deep narrative storytelling and party-based combat. It appeals to fans of narrative-driven RPGs seeking strategic gameplay and rich world-building.
B00001X50M,Metal Gear Solid,Metal Gear Solid is a tactical stealth action game emphasizing strategic infiltration and mission-based gameplay. Recommended for fans of narrative-driven tactical stealth experiences.
B00001XDUB,Silent Hill,"Silent Hill is a psychological horror game series featuring atmospheric exploration, survival mechanics, and monster encounters tied to player psychology, targeting horror enthusiasts and fans of narrative-driven survival experiences."
B0000296O5,Final Fantasy VIII,"Final Fantasy VIII is a turn-based JRPG featuring strategic combat, narrative-driven exploration, and character progression, targeting fans of classic role-playing games with strong storytelling."
B00004Y57G,Final Fantasy IX,Final Fantasy IX is a turn-based JRPG featuring party exploration and strategic combat. It appeals to core JRPG enthusiasts seeking narrative-driven adventures with classic RPG mechanics.
B00004YRQA,PlayStation 2 Memory Card (8MB),"This title refers to a PlayStation 2 memory card accessory (not a game), so it has no genre, gameplay style, or target audience as it is hardware storage for game saves."
B00004YUWA,Ico - PlayStation 2,"Ico is a silent, atmospheric puzzle-platformer where players solve environmental challenges through observation and precise movement. Intended for fans of narrative-driven puzzle games and players seeking contemplative, non-combat experiences."
B00005BW7Q,Xenosaga - PlayStation 2,"Xenosaga (PS2) is a narrative-driven sci-fi RPG featuring turn-based combat and complex story progression, targeting fans of deep, story-focused RPG experiences."
B00005ML10,Metal Gear Solid 2: Sons of Liberty - PlayStation 2,Metal Gear Solid 2: Sons of Liberty is a stealth action game featuring tactical gameplay and environmental puzzles. It appeals to fans of strategic stealth mechanics and action-adventure titles.
B00005NZ1G,Halo: Combat Evolved (Not for Resale),"Halo: Combat Evolved (Not for Resale) is a 2001 first-person shooter featuring fast-paced team combat and multiplayer action, targeting competitive gamers and Halo franchise enthusiasts seeking classic FPS experiences."
B00005O0I2,Grand Theft Auto 3,"Grand Theft Auto 3 is a third-person action-adventure game featuring open-world exploration and mission-based gameplay. Intended for adult players who enjoy fast-paced, immersive urban crime simulations."
